InputID,TargetID,Distance
132,21579,14.8897842825
133,16116,0.916000199431
134,75442,16.9631655104
135,18427,2.75124641828
136,75728,327.541247102
137,16158,0.576430009198
138,16133,69.2386734808
139,16134,1.86506229336
140,16767,8.09701703642
141,19597,1.98390892746
142,75488,41.7464788748
143,53671,991.583240359
144,19653,10.2597027671
145,16112,10.6761124113
146,16177,17.026318844
147,16364,11.7175657921
148,16168,26.2703500358
149,16118,12.7207632659
150,75538,193.690543286
151,16692,0.938452902856
153,75477,6.92873862996
154,16689,7.88759081596
155,18968,4.9111817791
197,16317,3.13705962629
156,75591,47.2652450708
157,16537,15.3609189383
158,16566,1.2792438554
159,75453,227.613051269
160,75568,298.606108789
161,75453,97.9166717092
162,16109,10.7195567277
163,16593,0.730563402774
164,75813,301.602595534
165,75586,896.37599398
166,75417,27.668110299
167,16309,0.962956548165
168,16300,8.59882074564
169,24405,0.971336891632
170,75481,5.09212734138
171,75482,201.158094582
172,75024,47.6326271025
173,75476,311.436619007
174,18677,3.18558284965
175,20619,0.151932104984
176,20748,6.17375142912
177,16916,4.28511977151
178,20528,14.0786645506
179,16978,0.650407423269
180,18071,0.623337077814
181,18073,0.28647298765
183,16092,4.89290168876
184,16191,17.1005805538
185,16329,2.20136597179
186,75498,898.621945153
187,76290,812.565796464
188,75764,93.7706123303
189,17802,4.49573628701
190,18414,4.08137509239
191,75498,474.388333807
192,75620,66.7495255455
193,17776,10.7475939828
198,76125,243.014836848
199,16310,1.04992795537
200,75604,44.7585166918
201,22003,30.2696032226
202,75643,26.4998090298
204,75724,502.335436609
205,23071,151.395231839
206,76392,1112.24540592
207,75640,1.05104479066
208,22375,0.00103068349238
209,16358,0.0
210,16238,3.53491365018
211,75513,1129.3313569
212,18340,4.51464623003
213,24129,8.02069760325
214,24660,69.0882222922
215,24650,18.953057093
216,57761,313.904867416
217,75494,20.0381496522
218,17207,3.07270879058
219,16273,4.26837024222
220,16287,2.84774625037
221,27429,2.79690813376
223,36442,25.3063723351
224,24647,4.79960977402
225,74864,5.82525723064
226,16996,1.25890919792
227,75556,237.223531305
228,25339,2.17747279606
229,75906,634.587532468
