'id','geom','l_id','v_id_1','v_id_2','voltage','cables','wires','frequency','name','operator','ref','length_m','r_ohmkm','x_ohmkm','c_nfkm','i_th_max_a','from_relation','wkt_srid_4326','wkt_srid_3857'
25,'0102000020E6100000020000002B67AA35ABE321407C9AF60800C9484004EFE0197DE321402A44CCE04AC94840',81652,58126,58128,'220000','3','','50','220 kV','RWE','',254.0131430162,'','','','','','SRID=4326;LINESTRING(8.94466560082545 49.570313568508,8.94431382056019 49.572597598781)','SRID=3857;LINESTRING(995715.62 6372191.6,995676.46 6372583.66999999)'
26,'0102000020E6100000020000001446618BC3C51C4056C3F19A2D66494087646BAE18A71C40CD2499E513664940',81733,16118,51960,'220000','6','2','50','220 kV Gremberghoven Ost|West','RWE','2381',1974.586540397,'','','','','','SRID=4326;LINESTRING(7.19312875539028 50.7982667618259,7.1631800892875 50.7974822042248)','SRID=3857;LINESTRING(800735.430260499 6585686.72805591,797401.56 6585548.54999999)'
27,'0102000020E61000000200000030A0C82AD1E31A40018837446ABD49409413699375E61A403D7A334837BD4940',81904,17776,54012,'220000','9','','','','','',216.6627960383,'','','','','','SRID=4326;LINESTRING(6.72247759675524 51.4798054953717,6.72505789116703 51.4782495738368)','SRID=3857;LINESTRING(748342.782939984 6706608.65548859,748630.02 6706330.55)'
28,'0102000020E6100000020000007639049CD5B71A40AA6B383790D149405D59F21D24BC1A401112C71900D24940',81967,52322,52340,'220000','6','2','','','RWE','',496.8775005918,'','','','','','SRID=4326;LINESTRING(6.67952579284462 51.6372136140338,6.68373152534181 51.6406280729317)','SRID=3857;LINESTRING(743561.41 6734792.97,744029.590000001 6735405.42)'
29,'0102000020E6100000020000002BD6D8DEAFDB1A40AD7DE34EA48049409CAA699A60DD1A40F56DEBFABC804940',82424,52526,56969,'220000','6','2','50','220 kV Frixheim Süd; Niederaußem 5e','RWE','',141.7152349015,'','','','','','SRID=4326;LINESTRING(6.71453808020082 51.0050142870708,6.71618882436692 51.0057672166403)','SRID=3857;LINESTRING(747458.959999999 6622180.74,747642.720000001 6622313.94)'
30,'0102000020E61000000200000056257D9541981B4061D7D11D5DBF4940EA6031AF90981B4046314E2079BF4940',83240,52607,52608,'220000','3','2','','220kV Osterfeld West','RWE','2412',96.140783162,'','','','','','SRID=4326;LINESTRING(6.89868768287973 51.49502918955,6.89898942698367 51.4958839780616)','SRID=3857;LINESTRING(767958.399999999 6709330.24,767991.99 6709483.08)'
31,'0102000020E610000002000000068FDE2521401C40F7CF22AE9AD74940C922F56D76351C4052AB9C04E6D34940',83475,54578,52635,'220000','6','3','','220kV Polsum Süd+Scholven D','RWE','2646',3483.9480542201,'','','','','','SRID=4326;LINESTRING(7.06262644930735 51.6844079656584,7.0522095852727 51.6554570927607)','SRID=3857;LINESTRING(786207.980000001 6743262.29,785048.38 6738065.83)'
32,'0102000020E610000002000000291516E76FB42340A941CFBD0AF349406CE7F3FF67D923409CFA990AFFF24940',83539,53054,75922,'220000','6','','50','','TenneT','',5133.5383187761,'','','','','','SRID=4326;LINESTRING(9.8524162497002 51.8987653028483,9.92462158062309 51.8984082462168)','SRID=3857;LINESTRING(1096765.96 6781841.58,1104803.8206709 6781777.16541129)'
33,'0102000020E610000002000000F9BF6248D669224059B606A3FE754840EB944F79C86322406324573BEC744840',84143,54614,75490,'220000','3','','','Anlage 326','EnBW','',963.1958775781,'','','','','','SRID=4326;LINESTRING(9.2067129726929 48.9218333990836,9.19488886925179 48.9134592223643)','SRID=3857;LINESTRING(1024886.6 6261608.55,1023570.34682585 6260189.97153172)'
34,'0102000020E610000002000000EB1BDC00E30622405501599035EC4740E1B9150048F821406D4E190B41EB4740',84358,17121,53566,'220000','9','2','','Tiengen - Stockach','RWE','4510',2133.6201159419,'','','','','','SRID=4326;LINESTRING(9.01345064818266 47.8453846392246,8.9849243189355 47.8379224656645)','SRID=3857;LINESTRING(1003372.736446 6081170.78574247,1000197.2 6079933.13999999)'
35,'0102000020E61000000200000090E08FA41714234004A75CE0FCC74A40FC7D46B7D80C2340910A80F825CF4A40',84593,51907,53272,'220000','9','','50','','EON_Netz','',7344.1501892657,'','','','','','SRID=4326;LINESTRING(9.5392428804046 53.562404675713,9.52509091125011 53.6183462739183)','SRID=3857;LINESTRING(1061903.66 7087712.75,1060328.27 7098204.44999999)'
36,'0102000020E61000000200000065B33E3CD6DC1B401612886FDD884940180325E409DC1B40D89CF72C69884940',84768,16113,51939,'220000','6','2','50','220 kV Niederaußem 4d; Wiesdorf Ltg.','RWE','2429',29.2722090864,'','','','','','SRID=4326;LINESTRING(6.96566099293418 51.0692576803596,6.96488148189453 51.0657097062155)','SRID=3857;LINESTRING(775413.834772001 6633553.76013699,775327.06 6632925.24999999)'
37,'0102000020E6100000020000006C9D6E3971DB1B40752F36013B884940180325E409DC1B40D89CF72C69884940',84769,51938,51939,'220000','6','2','50','220 kV Niederaußem 4d; Wiesdorf Ltg.','RWE','2429',160.7309403132,'','','','','','SRID=4326;LINESTRING(6.96429910409584 51.0643006815507,6.96488148189453 51.0657097062155)','SRID=3857;LINESTRING(775262.23 6632675.65999999,775327.06 6632925.24999999)'
38,'0102000020E610000002000000202EA7EC42451A4083CE833E47E648401C26E46E53441A40D18CEAF59FE64840',84909,55843,58281,'220000','3','2','50','220 kV Niederstedem West','RWE','',306.9433064639,'','','','','','SRID=4326;LINESTRING(6.56763810892474 49.7990492004001,6.56672452228079 49.8017566104187)','SRID=3857;LINESTRING(731106.129999999 6411547.15999999,731004.43 6412014.09999999)'
39,'0102000020E6100000020000007C98639A53A1274039B748BA821C4840CF8B15EFC8A22740DAE4089B961C4840',85018,52246,52247,'220000','6','2','','Neufinsing - Zolling','TenneT TSO GmbH','258',220.7979699397,'','','','','','SRID=4326;LINESTRING(11.8150909658982 48.222739491945,11.8179392541696 48.2233461183002)','SRID=3857;LINESTRING(1315249.90999999 6143991.06999999,1315566.98 6144092.43)'
40,'0102000020E61000000200000009166A4696512140675BE06FF3FF4940D3DFBA2D875C2140B92CF58398FF4940',85190,16287,52411,'220000','6','2','50','','','',1365.1128555375,'','','','','','SRID=4326;LINESTRING(8.6593496326923 51.9996166081899,8.68071883112126 51.9968419024603)','SRID=3857;LINESTRING(963954.391712226 6800056.13253778,966333.2 6799554.44999999)'
