equal_node_id_1,equal_node_id_2,link_id_input,link_id_target,input_wkt_srid_3857,target_wkt_srid_3857
279,344,469,189096,'SRID=3857;LINESTRING(1426422.23549038 6596194.14673887,1447441.68978718 6597609.42723155)','SRID=3857;LINESTRING(1447439.37546039 6597619.56168127,1426376.64726755 6596191.6649258)'
349,330,478,188157,'SRID=3857;LINESTRING(1312725.50798309 6247455.84923571,1360417.1718979 6204859.06445568)','SRID=3857;LINESTRING(1360417.17188848 6204859.06512862,1312710.27049158 6247434.69853823)'
15,337,488,1457,'SRID=3857;LINESTRING(1321157.12295583 6141328.69174797,1368882.84376721 6208423.5463894)','SRID=3857;LINESTRING(1321158.18209118 6141323.72821967,1368679.42422644 6208173.13106565)'
30,369,503,188751,'SRID=3857;LINESTRING(1057734.39237905 7084041.92342586,1009535.73116587 7088505.67581817)','SRID=3857;LINESTRING(1057735.76847922 7084064.82745641,1009538.85149109 7088495.00083077)'
256,370,505,190847,'SRID=3857;LINESTRING(752021.428373435 6337000.44329061,750446.562378647 6335739.44068206)','SRID=3857;LINESTRING(750418.824208886 6335711.21531344,752019.585880927 6336999.20348459)'
256,371,506,190712,'SRID=3857;LINESTRING(752021.428373435 6337000.44329061,751373.180858924 6337052.87719653)','SRID=3857;LINESTRING(751374.159871231 6337052.9135654,752019.585880927 6336999.20348459)'
256,372,507,188065,'SRID=3857;LINESTRING(752021.428373435 6337000.44329061,753189.420746048 6336181.29005868)','SRID=3857;LINESTRING(753195.137530315 6336181.15557044,752019.585880927 6336999.20348459)'
209,376,515,170461,'SRID=3857;LINESTRING(995162.03 6873329.68,1001453.31629909 6869052.99883881)','SRID=3857;LINESTRING(995162.03 6873329.68,1001479.08282917 6869396.56512847)'
380,299,519,188495,'SRID=3857;LINESTRING(1093333.71713382 6877312.31954573,1122951.70947319 6857306.90055575)','SRID=3857;LINESTRING(1093331.19678916 6877307.54753024,1123282.65975733 6857162.45642873)'
382,308,521,191658,'SRID=3857;LINESTRING(1131039.79120752 6444398.19193024,1134103.94078679 6443023.53877824)','SRID=3857;LINESTRING(1134111.86748802 6443027.30371212,1131033.12512724 6444402.20775814)'
388,387,534,191303,'SRID=3857;LINESTRING(997316.234638897 6850638.4132534,994330.01261756 6835154.58319673)','SRID=3857;LINESTRING(994535.767060496 6834759.58060447,997317.97349887 6850644.62774872)'
16,49,542,190632,'SRID=3857;LINESTRING(1197913.53946942 6866890.71225085,1224440.15623726 6836394.91172494)','SRID=3857;LINESTRING(1224437.9269383 6836394.11902764,1197909.53615625 6866883.04566665)'
49,50,543,76046,'SRID=3857;LINESTRING(1224440.15623726 6836394.91172494,1221980.01857516 6830819.34415133)','SRID=3857;LINESTRING(1224437.9269383 6836394.11902764,1221996.08059351 6830748.90397004)'
