v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326,wkt_srid_3857,degree,betweenness_centrality_node,clustering_coefficient
44,13.5061280249068,52.4738227039188,substation,220000;110000,50,Umspannwerk Wuhlheide,50Hertz;Vattenfall Europe AG,,SRID=4326;POINT(13.5061280249068 52.4738227039188),SRID=3857;POINT(1503495.29432139 6886256.30871833),3,0.0006181624908132332,0.6666666666666666
45,13.3057533352426,52.2307818607751,substation,380000;220000;110000,50,Thyrow,50Hertz Transmission GmbH,,SRID=4326;POINT(13.3057533352426 52.2307818607751),SRID=3857;POINT(1481189.68590011 6841961.82416014),4,0.009492230481376809,0.3333333333333333
46,13.524229382887,52.5356572171711,substation,380000;220000;110000,50,Umspannwerk Marzahn,50Hertz,MZA9,SRID=4326;POINT(13.524229382887 52.5356572171711),SRID=3857;POINT(1505510.32827441 6897564.72921428),4,0.00897845388292126,0.16666666666666666
47,13.4564332845965,52.5214575892113,substation,380000;110000,50,Umspannwerk Friedrichshain,Vattenfall Europe AG;50Hertz,,SRID=4326;POINT(13.4564332845965 52.5214575892113),SRID=3857;POINT(1497963.30113494 6894966.46508631),3,0.004639125444926327,0.0
48,13.5370284535837,52.5374809881862,substation,110000,50,Umspannwerk Biesdorf Nord,Stromnetz Berlin,BIN,SRID=4326;POINT(13.5370284535837 52.5374809881862),SRID=3857;POINT(1506935.11430699 6897898.50580254),1,0.0,0.0
49,10.9993330683763,52.2001420103124,substation,380000;110000,,Umspannwerk Helmstedt,TenneT TSO GmbH,,SRID=4326;POINT(10.9993330683763 52.2001420103124),SRID=3857;POINT(1224440.15623726 6836394.91172494),3,0.0654331504792396,0.0
50,10.9772332757472,52.1694333350195,plant,,,Kraftwerk Buschhaus,E.ON Kraftwerke GmbH,,SRID=4326;POINT(10.9772332757472 52.1694333350195),SRID=3857;POINT(1221980.01857516 6830819.34415133),1,0.0,0.0
51,9.25938384941478,51.0603668957955,substation,380000;110000,50,Umspannwerk Borken,TenneT,,SRID=4326;POINT(9.25938384941478 51.0603668957955),SRID=3857;POINT(1030749.89517631 6631978.88232535),3,0.09268646626514813,0.0
52,8.31334018942867,49.0090434774209,substation,380000;220000;110000,50,Karlsruhe-Daxlanden,EnBW,,SRID=4326;POINT(8.31334018942867 49.0090434774209),SRID=3857;POINT(925436.796678455 6276396.02224595),13,0.07844168296742021,0.038461538461538464
53,7.75349549403634,48.0993557332288,substation,380000;220000;110000,50,380-kV-Umspannwerk Eichstetten,EnBW,,SRID=4326;POINT(7.75349549403634 48.0993557332288),SRID=3857;POINT(863115.170264068 6123400.03428663),2,0.0,1.0
54,8.4384675602346,49.2524597535318,plant,,,Kernkraftwerk Philippsburg,EnBW Kernkraft GmbH,,SRID=4326;POINT(8.4384675602346 49.2524597535318),SRID=3857;POINT(939365.911880874 6317807.606619),2,0.0,1.0
55,8.51211173756804,49.2939665911691,substation,220000;110000,50,Umspannwerk Altlußheim,Netze BW GmbH;Transnet BW GmbH,,SRID=4326;POINT(8.51211173756804 49.2939665911691),SRID=3857;POINT(947563.944201521 6324889.3764975),1,0.0,0.0
56,8.62320969485988,49.356582256425,substation,380000;220000,50,Umspannwerk Neurott,EnBW,,SRID=4326;POINT(8.62320969485988 49.356582256425),SRID=3857;POINT(959931.31223542 6335583.9625945),6,0.036917744123702134,0.2
57,8.44554253599103,48.9860882032815,substation,220000;110000,50,Umspannwerk Oberwald,,,SRID=4326;POINT(8.44554253599103 48.9860882032815),SRID=3857;POINT(940153.494579454 6272501.18275884),3,0.004282655246252677,0.3333333333333333
58,8.64158407529801,48.8900525292561,substation,220000;110000,50,220 kV-Umspannwerk Birkenfeld,EnBW,,SRID=4326;POINT(8.64158407529801 48.8900525292561),SRID=3857;POINT(961976.738909436 6256226.15819957),2,0.0,1.0
59,8.56374402466983,53.0317216060084,substation,380000;110000,50,Ganderkesee,TenneT;EON_Netz;EWE,GANK,SRID=4326;POINT(8.56374402466983 53.0317216060084),SRID=3857;POINT(953311.624110185 6988867.71581033),2,0.0013443869729079859,0.0
60,8.47470705828713,53.4286512121137,substation,380000;220000;110000,50,Unterweser,EON_Netz,UWES,SRID=4326;POINT(8.47470705828713 53.4286512121137),SRID=3857;POINT(943400.074350683 7062683.76123891),3,0.0041352343300216235,0.0
61,8.51888183670623,53.2026352879915,substation,110000,50,Umspannwerk Farge,Avacon AG,FARG,SRID=4326;POINT(8.51888183670623 53.2026352879915),SRID=3857;POINT(948317.588190205 7020568.27617918),5,0.0950204344460732,0.1
62,8.82002488847759,53.1073883104849,substation,220000;110000,50,Umspannwerk Blockland,swb Netze GmbH & Co. KG,,SRID=4326;POINT(8.82002488847759 53.1073883104849),SRID=3857;POINT(981840.679369326 7002886.60731588),2,0.014771724755734733,0.0
63,8.1205960007402,48.7053687624366,substation,220000;110000,50,Umspannwerk Bühl,EnBW,,SRID=4326;POINT(8.1205960007402 48.7053687624366),SRID=3857;POINT(903980.611740293 6225015.70478993),2,0.002375832100308484,0.0
64,11.4407746571386,48.1718035686213,substation,380000;110000,,Hauptumspannwerk Menzing,Stadtwerke München,MZ,SRID=4326;POINT(11.4407746571386 48.1718035686213),SRID=3857;POINT(1273581.20911326 6135484.56809849),1,0.0,0.0
66,12.1147699347953,49.6311522364994,substation,380000;110000,,Umspannwerk Etzenricht,Tennet;EON_Netz,ETZ,SRID=4326;POINT(12.1147699347953 49.6311522364994),SRID=3857;POINT(1348610.02021907 6382641.25988613),2,0.0,1.0
67,8.69516076534637,53.0925361336519,substation,380000;110000,50,Niedervieland,Wesernetz,NVLD,SRID=4326;POINT(8.69516076534637 53.0925361336519),SRID=3857;POINT(967940.86876401 7000132.9770056),2,0.0025850643920048637,0.0
68,8.77244299222179,49.9746686767501,substation,380000;220000;110000,,Umspannwerk Urberach,RWE,,SRID=4326;POINT(8.77244299222179 49.9746686767501),SRID=3857;POINT(976543.886907151 6441890.05723446),6,0.2454493688778748,0.13333333333333333
69,8.41937108566179,49.6337357665925,substation,380000;220000,50,Station Bürstadt,RWE,,SRID=4326;POINT(8.41937108566179 49.6337357665925),SRID=3857;POINT(937240.102055482 6383085.29621266),8,0.38728869222882384,0.07142857142857142
70,8.38855643052221,49.9823050863709,substation,380000;110000,,Umspannstation Bischofsheim,RWE; Kraftwerke Mainz-Wiesbaden,,SRID=4326;POINT(8.38855643052221 49.9823050863709),SRID=3857;POINT(933809.830336372 6443211.95744127),3,0.008546929997886242,0.3333333333333333
71,12.262173544509,51.7410202813412,substation,380000;110000,50,Umspannwerk Marke,50Hertz,,SRID=4326;POINT(12.262173544509 51.7410202813412),SRID=3857;POINT(1365018.91499349 6753433.37728126),1,0.0,0.0
