edge,bet_cen_edge
'(52581, 52588)',0.05087574947332704
'(17229, 54213)',0.004838282123301053
'(75588, 53808)',0.006944668815950589
'(17781, 54021)',0.002162160896611951
'(24597, 53656)',0.1405895810316066
'(52152, 61654)',0.04273707699576697
'(79128, 57120)',0.003241485394000267
'(52388, 52389)',0.006996241744754456
'(55866, 20445)',0.0005408328826392645
'(54338, 54337)',0.003241485394000267
'(59176, 59177)',0.002162160896611951
'(54100, 55164)',0.016042560547816952
'(79778, 79779)',0.0051384770512519435
'(58294, 58295)',0.002639482706893687
'(16862, 52633)',0.06855930350432267
'(65919, 65920)',0.002342282439632358
'(53220, 53664)',0.001479278793183098
'(16565, 52788)',0.01290272734296531
'(58327, 52394)',0.13945931030843542
'(28905, 53743)',0.017326576712924653
'(61586, 51951)',0.001081665765278529
'(76290, 52328)',0.003461622875108928
'(52584, 54734)',0.003241485394000267
'(52853, 53608)',0.001081665765278529
'(53275, 53276)',0.0016065780262643431
'(58626, 53923)',0.00041635547314292575
'(53394, 54540)',0.0150367930248947
'(53744, 53745)',0.016090164288997486
'(75510, 53595)',0.008068639949070073
'(20760, 55452)',0.001081665765278529
'(61702, 30399)',0.1676773761377669
'(55088, 80139)',0.0015386812574481586
'(52443, 53034)',0.0016210353554864101
'(58293, 55301)',0.004767527985676731
'(54260, 54259)',0.004922584144628694
'(78720, 16136)',0.000713098635720902
'(53016, 53054)',0.043402250411831114
'(52064, 16111)',0.00924918032059134
'(19856, 55524)',0.001081665765278529
'(24660, 58390)',0.1465871283178188
'(75641, 2493)',0.00621245493570302
'(20460, 20051)',0.003239729443082607
'(17180, 32751)',0.006538963324484452
'(52753, 52755)',0.03867058513864351
'(3792, 53139)',0.09612241026317055
'(17122, 54894)',0.001081665765278529
'(53515, 51347)',0.00836959279070828
'(75486, 78795)',0.0803691790180621
'(53106, 55894)',0.10152759987061527
'(51907, 52383)',0.016511761009576638
'(53379, 53175)',0.005396622486941578
'(16903, 53272)',0.010925203165041478
'(58340, 58339)',0.012863511105804238
'(51328, 53164)',0.0016386924174917683
'(53528, 75483)',0.1053137200026458
'(54488, 54565)',0.0033037838303888664
'(75643, 75666)',9.95038853340638e-06
'(55269, 55509)',0.012325510971497217
'(53833, 53834)',0.007676262074392324
'(58377, 58378)',0.030119865808558476
'(53500, 53502)',0.024417277932691557
'(54604, 18476)',0.0022840517625343356
'(8706, 79755)',0.002162160896611951
'(75600, 19665)',0.009692849065482921
'(75520, 51892)',0.0033332045635993714
'(54616, 54619)',0.005108351090735396
'(58340, 58346)',0.011797063581812095
'(53989, 53988)',0.0335031054905784
'(67993, 16287)',0.04446598482939195
'(75488, 53241)',0.001479068117405443
'(17783, 54027)',4.7605780434336414e-05
'(18666, 53165)',0.002162160896611951
'(17190, 75442)',0.23748856249956593
'(52138, 16191)',0.007526934324325687
'(52319, 52320)',0.002162160896611951
'(57435, 75081)',0.021212280705875556
'(66441, 66531)',0.02875223565411727
'(52422, 28344)',0.0043196392574434755
'(25111, 16960)',0.005587504571511374
'(52891, 56294)',0.006005742349712034
'(57848, 22360)',0.003016539719777006
'(52486, 16381)',0.003241485394000267
'(52901, 52902)',0.0027326498391939172
'(52213, 77116)',0.0020763339178698826
'(55509, 55510)',0.013419991830797099
'(53859, 16126)',0.001081665765278529
'(55250, 55251)',0.009222310530889117
'(24960, 25027)',0.016924155417274805
'(52577, 52578)',0.00010643013617594472
'(55089, 80139)',0.0006234796391637928
'(52970, 53013)',0.005190855698852298
'(36307, 53924)',0.0010073792861786369
'(78462, 53782)',0.025666423091189227
'(55153, 55495)',8.194437615746431e-05
'(16409, 54423)',0.2011740971113833
'(52059, 52087)',0.00553746647387996
'(54412, 54413)',0.0019370479889679458
'(16527, 52949)',0.0010029218187102762
'(34417, 23071)',0.019921525317345316
'(18791, 53282)',0.001081665765278529
'(78044, 54318)',0.004885709056882666
'(16887, 58047)',0.10226054169036262
'(52409, 52415)',0.0004758109206459666
'(51916, 54118)',0.0032550029643052913
'(54355, 54612)',0.0007606616787254965
'(53989, 54556)',0.03395188752400077
'(16569, 52842)',0.04160132296469146
'(58153, 58154)',0.004251231033082271
