# Edges Betweenness Centrality, Cumulative Propability
0.002998,0.394737
0.003000,0.395199
0.003017,0.395660
0.003026,0.396122
0.003034,0.396584
0.003041,0.397045
0.003052,0.397507
0.003062,0.397969
0.003090,0.398430
0.003092,0.398892
0.003094,0.399354
0.003101,0.399815
0.003104,0.400277
0.003105,0.400739
0.003118,0.401200
0.003120,0.401662
0.003153,0.402124
0.003164,0.402585
0.003187,0.403047
0.003207,0.403509
0.003218,0.403970
0.003220,0.404432
0.003227,0.404894
0.003229,0.405355
0.003234,0.405817
0.003234,0.406741
0.003237,0.407664
0.003238,0.408126
0.003239,0.408587
0.003239,0.409049
0.003240,0.410434
0.003241,0.410896
0.003241,0.436750
0.003255,0.437211
0.003255,0.437673
0.003266,0.438135
0.003266,0.438596
0.003272,0.439058
0.003283,0.439520
0.003304,0.439982
0.003329,0.440443
0.003333,0.440905
0.003334,0.441367
0.003336,0.441828
0.003338,0.442290
0.003353,0.442752
0.003353,0.443213
0.003362,0.443675
0.003372,0.444137
0.003375,0.444598
0.003390,0.445060
0.003399,0.445522
0.003403,0.445983
0.003403,0.446445
0.003410,0.447368
0.003431,0.447830
0.003434,0.448753
0.003439,0.449215
0.003441,0.449677
0.003446,0.450139
0.003452,0.450600
0.003462,0.451062
0.003469,0.451524
0.003474,0.451985
0.003486,0.452447
0.003492,0.452909
0.003492,0.453370
0.003493,0.453832
0.003502,0.454294
0.003516,0.454755
0.003527,0.455217
0.003552,0.455679
0.003555,0.456140
0.003577,0.456602
0.003581,0.457064
0.003592,0.457525
0.003627,0.457987
0.003638,0.458449
0.003666,0.458910
0.003674,0.459372
0.003695,0.459834
0.003698,0.460295
0.003702,0.460757
0.003703,0.461219
0.003721,0.461681
0.003724,0.462142
0.003727,0.462604
0.003728,0.463066
0.003738,0.463527
0.003749,0.463989
0.003752,0.464451
0.003759,0.464912
0.003761,0.465374
0.003767,0.465836
0.003768,0.466297
0.003772,0.466759
0.003775,0.467221
0.003777,0.467682
0.003792,0.468144
0.003796,0.468606
0.003800,0.469067
0.003802,0.469529
0.003820,0.469991
0.003838,0.470452
0.003842,0.470914
0.003846,0.471376
0.003855,0.471837
0.003896,0.472299
0.003901,0.472761
0.003929,0.473223
0.003931,0.473684
0.003933,0.474146
0.003941,0.474608
0.004016,0.475069
0.004022,0.475531
0.004026,0.475993
0.004049,0.476454
0.004052,0.476916
0.004057,0.477378
0.004061,0.477839
0.004067,0.478301
0.004070,0.478763
0.004073,0.479224
0.004115,0.479686
0.004125,0.480148
0.004152,0.480609
0.004155,0.481071
0.004160,0.481533
0.004193,0.481994
0.004195,0.482456
0.004229,0.482918
0.004240,0.483380
0.004251,0.483841
0.004251,0.484303
0.004261,0.484765
0.004274,0.485226
0.004274,0.485688
0.004290,0.486150
0.004297,0.486611
0.004305,0.487073
0.004306,0.487535
0.004312,0.487996
0.004313,0.488920
0.004314,0.489843
0.004317,0.490305
0.004320,0.502770
0.004320,0.503232
0.004320,0.503693
0.004327,0.504155
0.004403,0.504617
0.004427,0.505078
0.004437,0.505540
0.004440,0.506002
0.004468,0.506464
0.004490,0.506925
0.004521,0.507387
0.004540,0.507849
0.004547,0.508310
0.004550,0.508772
0.004551,0.509234
0.004553,0.509695
0.004559,0.510157
0.004594,0.510619
0.004644,0.511080
0.004684,0.511542
0.004688,0.512004
0.004694,0.512465
0.004706,0.512927
0.004719,0.513389
0.004722,0.513850
0.004741,0.514312
0.004741,0.514774
0.004768,0.515235
0.004800,0.515697
0.004820,0.516159
0.004822,0.516620
0.004838,0.517082
0.004845,0.517544
0.004849,0.518006
0.004863,0.518467
0.004866,0.518929
0.004873,0.519391
0.004886,0.519852
0.004893,0.520314
0.004907,0.520776
0.004923,0.521237
0.004946,0.521699
0.004946,0.522161
0.005015,0.522622
0.005029,0.523084
0.005035,0.523546
0.005055,0.524007
0.005090,0.524469
0.005108,0.524931
0.005130,0.525392
0.005138,0.525854
0.005142,0.526316
0.005147,0.526777
0.005159,0.527239
0.005162,0.527701
0.005170,0.528163
0.005190,0.528624
0.005191,0.529086
0.005199,0.529548
0.005221,0.530009
0.005228,0.530471
0.005256,0.530933
0.005294,0.531394
0.005319,0.531856
0.005334,0.532318
0.005366,0.532779
0.005371,0.533241
0.005373,0.533703
0.005381,0.534164
0.005382,0.534626
0.005397,0.541551
0.005397,0.542013
0.005424,0.542475
0.005429,0.542936
0.005511,0.543398
0.005537,0.543860
0.005540,0.544321
0.005552,0.544783
0.005579,0.545245
0.005585,0.545706
0.005588,0.546168
0.005605,0.546630
0.005605,0.547091
0.005618,0.547553
0.005625,0.548015
0.005634,0.548476
0.005660,0.548938
0.005676,0.549400
0.005684,0.549861
0.005720,0.550323
0.005765,0.550785
0.005819,0.551247
0.005832,0.551708
0.005833,0.552170
0.005861,0.552632
0.005872,0.553093
0.005876,0.553555
0.005889,0.554017
0.005891,0.554478
0.005892,0.554940
0.005899,0.555402
0.005906,0.555863
0.005940,0.556325
0.005944,0.556787
0.005970,0.557248
0.006006,0.557710
0.006039,0.558172
0.006044,0.558633
0.006083,0.559095
0.006125,0.559557
0.006129,0.560018
0.006155,0.560480
0.006165,0.560942
0.006208,0.561404
0.006212,0.561865
0.006216,0.562327
0.006217,0.562789
0.006222,0.563250
0.006298,0.563712
0.006304,0.564174
0.006315,0.564635
0.006361,0.565097
0.006369,0.566020
0.006373,0.566482
0.006396,0.566944
0.006422,0.567405
0.006428,0.567867
0.006441,0.568329
0.006443,0.568790
0.006450,0.569252
0.006463,0.569714
0.006466,0.570175
0.006472,0.575716
0.006475,0.576177
0.006520,0.576639
0.006522,0.577101
0.006528,0.577562
0.006539,0.578024
