edge,bet_cen_edge
'(7129, 7171)',0.13741618369020087
'(6766, 7081)',0.038640368060472004
'(6690, 6778)',0.040267984957736126
'(7162, 7161)',0.002466091245376079
'(6647, 1642)',0.0014485108612157973
'(7052, 7053)',0.004495766539465773
'(6884, 7016)',0.005628294640947604
'(6989, 7206)',0.002466091245376079
'(7003, 647)',0.004052877042413357
'(6683, 6692)',0.051487549899442334
'(6768, 6959)',0.009827830296387634
'(7031, 7115)',0.002466091245376079
'(7151, 7152)',0.004926093376566044
'(6774, 537)',0.002466091245376079
'(6793, 7043)',0.0004007362029008829
'(6660, 5363)',0.0049149300005581695
'(6640, 6820)',0.002915347025640955
'(5597, 5598)',0.002466091245376079
'(6715, 7116)',0.04997763041655368
'(6686, 7074)',0.002460581194009632
'(3715, 7115)',0.002466091245376079
'(6660, 7056)',0.0024422422148138
'(7106, 7107)',0.033447500369243176
'(4098, 7034)',0.002466091245376079
'(7153, 3878)',0.0012340604750523919
'(6691, 6797)',0.013330085805767406
'(6853, 7070)',0.00923640513363734
'(6638, 7167)',0.002484497155753564
'(7011, 676)',0.00022928247205545482
'(625, 6872)',0.0012340604750523917
'(2102, 6739)',0.0024660912453760785
'(7143, 3485)',0.002466091245376079
'(7082, 1347)',0.0007978142905301875
'(7111, 7128)',0.001635113819317135
'(6887, 7064)',0.004111346413251093
'(6634, 6636)',0.002466091245376079
'(7080, 7081)',0.00875520298390476
'(248, 6926)',0.002466091245376079
'(6638, 6657)',0.010225293874750489
'(6198, 6087)',0.002490447702120534
'(6857, 6961)',0.002466091245376079
'(6843, 6975)',0.002453639973391538
'(6896, 6802)',0.024140521020453245
'(7118, 7197)',0.004776293665928028
'(6663, 6877)',0.002466091245376079
'(6394, 6395)',0.002466091245376079
'(7053, 7085)',0.06662837362782113
'(108, 6802)',0.031173474670751756
'(6827, 6828)',0.0019752308805603812
'(6921, 7129)',0.0758309657354471
'(7101, 2977)',0.002466091245376079
'(6984, 6801)',0.012524231208826087
'(6685, 5776)',0.0004514570742821188
'(7009, 7021)',0.025295527184182792
'(6689, 5506)',0.006140871656695743
'(6809, 6813)',0.0072288890950601365
'(7199, 6941)',0.0012284787870484543
'(1383, 7073)',0.003776355004369326
'(7123, 7186)',0.0002866957929295236
'(7078, 7079)',0.005057586083909291
'(929, 7087)',0.0034078426077330027
'(6970, 7109)',0.05181901522900562
'(6882, 6819)',0.004876365610712781
'(6727, 6859)',0.013325498767317695
'(4453, 6654)',0.016202946497017118
'(6721, 6911)',0.003083261349217233
'(6633, 6738)',0.0009756464531732189
'(6924, 7009)',0.03815782173206679
'(6797, 7045)',0.002466091245376079
'(7004, 7091)',0.0025919290834759837
'(6738, 1545)',0.002466091245376079
'(6659, 7159)',0.002466091245376079
'(6662, 6961)',0.002001212858407909
'(6559, 6901)',0.0024630466882830217
'(7119, 7120)',0.01620935741121461
'(6685, 6932)',0.08911482337614056
'(6806, 6807)',0.006732733555585923
'(7111, 7117)',0.00720639968356538
'(449, 6649)',1.8267342558341325e-05
'(6806, 6790)',0.006732733555585923
'(6829, 3898)',0.001227971360866278
'(173, 177)',0.003478848385684928
'(6974, 7155)',0.002466091245376079
'(7114, 7165)',0.002466091245376079
'(6693, 4994)',0.002466091245376079
'(6861, 6869)',0.0024158560533406414
'(6718, 7021)',0.02037971764490884
'(7126, 7203)',0.002466091245376079
'(6900, 6901)',0.0024660912453760785
'(6797, 3898)',0.0012218822466801644
'(6776, 6861)',0.024120626640755285
'(6707, 6903)',0.0024660912453760785
'(6682, 5074)',0.009827830296387634
'(6653, 1466)',0.002466091245376079
'(6791, 6807)',0.009000928589913474
'(7100, 5375)',0.002466091245376079
'(4597, 4599)',0.002466091245376079
'(6852, 6851)',0.002463046688283022
'(6982, 7174)',0.0071973329679864825
'(4538, 6967)',0.0012340604750523919
'(6709, 7051)',0.005041323899549622
'(6898, 647)',0.004240124175871205
'(6739, 7177)',0.0024660912453760785
'(6862, 6863)',0.004926093376566044
'(6652, 6810)',0.018790288492430144
'(6679, 7192)',0.007380006393569896
'(6997, 1267)',0.01747580123010521
'(6782, 7204)',0.0010727085151774382
'(6950, 6951)',0.017835083439436974
'(6661, 6800)',0.002466091245376079
'(6705, 6958)',0.002466091245376079
'(6716, 7171)',0.05019691101670839
'(17, 6867)',0.002466091245376079
'(6935, 6943)',0.04844510191117035
'(4878, 7004)',0.005389416974565626
'(6720, 3225)',0.002466091245376079
'(6463, 6464)',3.0445570930568877e-06
'(6945, 7058)',0.002691780284972211
'(7101, 3020)',0.002466091245376079
'(6861, 887)',0.004734353936527754
'(6891, 7048)',0.002466091245376079
'(203, 206)',0.002466091245376079
'(6666, 6667)',0.021959785030513462
'(6678, 7139)',0.002466091245376079
'(6846, 6924)',0.0024600021311899653
'(7108, 4904)',0.002466091245376079
'(6935, 3069)',0.006387872595943291
'(6800, 6941)',0.001237612458327625
'(6713, 6087)',0.0032164392551660244
'(6693, 7145)',0.002466091245376079
'(6404, 6666)',0.0024600021311899653
'(6987, 2922)',0.002466091245376079
'(7091, 2973)',0.002466091245376079
'(6677, 6679)',0.004926093376566044
'(7114, 7123)',0.015152403962791364
