InputID,TargetID,Distance,equal_node_id
134,75442,16.9631655104,134
135,18427,2.75124641828,135
136,75728,327.541247102,136
137,16158,0.576430009198,137
138,16133,69.2386734808,138
139,16134,1.86506229336,139
140,16767,8.09701703642,140
141,19597,1.98390892746,141
142,75488,41.7464788748,142
143,53671,991.583240359,143
144,19653,10.2597027671,144
145,16112,10.6761124113,145
146,16177,17.026318844,146
147,16364,11.7175657921,147
148,16168,26.2703500358,148
149,16118,12.7207632659,149
150,75538,193.690543286,150
151,16692,0.938452902856,151
153,75477,6.92873862996,153
154,16689,7.88759081596,154
155,18968,4.9111817791,155
197,16317,3.13705962629,197
156,75591,47.2652450708,156
157,16537,15.3609189383,157
158,16566,1.2792438554,158
159,75453,227.613051269,159
160,75568,298.606108789,160
161,75453,97.9166717092,161
162,16109,10.7195567277,162
163,16593,0.730563402774,163
164,75813,301.602595534,164
165,75586,896.37599398,165
166,75417,27.668110299,166
167,16309,0.962956548165,167
168,16300,8.59882074564,168
169,24405,0.971336891632,169
170,75481,5.09212734138,170
171,75482,201.158094582,171
172,75024,47.6326271025,172
173,75476,311.436619007,173
174,18677,3.18558284965,174
175,20619,0.151932104984,175
176,20748,6.17375142912,176
177,16916,4.28511977151,177
178,20528,14.0786645506,178
179,16978,0.650407423269,179
180,18071,0.623337077814,180
181,18073,0.28647298765,181
183,16092,4.89290168876,183
184,16191,17.1005805538,184
185,16329,2.20136597179,185
186,75498,898.621945153,186
187,76290,812.565796464,187
188,75764,93.7706123303,188
189,17802,4.49573628701,189
190,18414,4.08137509239,190
191,75498,474.388333807,191
192,75620,66.7495255455,192
193,17776,10.7475939828,193
198,76125,243.014836848,198
199,16310,1.04992795537,199
200,75604,44.7585166918,200
201,22003,30.2696032226,201
202,75643,26.4998090298,202
204,75724,502.335436609,204
205,23071,151.395231839,205
207,75640,1.05104479066,207
208,22375,0.00103068349238,208
209,16358,0.0,209
210,16238,3.53491365018,210
212,18340,4.51464623003,212
213,24129,8.02069760325,213
214,24660,69.0882222922,214
215,24650,18.953057093,215
216,57761,313.904867416,216
217,75494,20.0381496522,217
218,17207,3.07270879058,218
219,16273,4.26837024222,219
220,16287,2.84774625037,220
221,27429,2.79690813376,221
223,36442,25.3063723351,223
224,24647,4.79960977402,224
225,74864,5.82525723064,225
226,16996,1.25890919792,226
227,75556,237.223531305,227
228,25339,2.17747279606,228
229,75906,634.587532468,229
230,20409,6.72158012668,230
231,20407,36.5218190547,231
232,75556,260.372532649,232
233,18274,13.2417986071,233
234,17121,6.25463402722,234
235,17122,5.76542788025,235
236,75490,224.227742116,236
238,75880,81.5813539094,238
239,24553,0.211537673023,239
240,25944,8.46479726916,240
241,18026,7.22372690493,241
242,75674,50.3010856047,242
243,16220,0.424196338828,243
245,18365,4.02634871074,245
246,75637,2.95272406026,246
247,74956,14.230932771,247
248,75814,5.53387216929,248
249,75586,271.811387583,249
250,75586,186.885069801,250
251,75586,314.013457954,251
252,75586,501.992617225,252
253,54472,565.756893574,253
254,74976,19.8405801618,254
255,19612,8.0644027502,255
256,20051,2.22078760996,256
258,75535,5.55186654085,258
259,18447,6.457221724,259
260,16588,6.8069231228,260
261,18476,27.9659476895,261
262,17097,0.844918683471,262
264,75483,47.8866807342,264
265,17935,9.72803186351,265
266,19856,4.71820394743,266
267,75667,176.327413432,267
268,20425,7.69609051618,268
269,16348,15.6573910721,269
270,17673,4.48069389448,270
271,21516,10.4572004872,271
272,20306,15.7682575507,272
275,24821,3.90020293434,275
276,75923,21.0346109147,276
277,25036,0.128779439471,277
278,75497,82.6129270381,278
279,16165,45.6557275369,279
280,25027,20.8661272229,280
281,24958,0.248646798871,281
282,17271,8.24154999302,282
284,76283,185.701308995,284
285,75671,90.2151954768,285
286,26222,4.03308258617,286
287,75996,167.447977298,287
288,24089,7.60522407163,288
289,16946,15.0193872566,289
290,25084,9.2684728006,290
292,17719,0.0731640957356,292
293,23427,6.1948487848,293
294,24263,13.6397871507,294
295,75460,361.512471598,295
296,75510,20.630955272,296
297,16727,0.148946004879,297
298,75541,232.273596333,298
299,75449,361.098596512,299
300,17280,17.4363648484,300
301,16297,3.95518106949,301
302,24984,2.47570480375,302
303,36310,16.3657375796,303
304,24202,12.0550652527,304
305,53153,448.684162804,305
306,75448,412.255329368,306
307,75486,20.1378094366,307
308,75130,8.77538144547,308
309,23960,2.53767849283,309
310,75746,179.354210809,310
311,23869,18.5750456043,311
312,18338,12.0737442872,312
314,16361,5.4061175894,314
315,17039,19.2119093488,315
316,19046,2.36455568933,316
318,19864,22.4335036389,318
319,75495,6.32978372665,319
320,16527,25.7362569434,320
322,75731,260.591822663,322
323,26237,3.64325757307,323
324,19317,3.23318181623,324
326,75444,12.9162441652,326
327,75816,56.5524154335,327
329,20565,8.54055477093,329
330,19901,0.00067300609477,330
331,20564,26.2578823685,331
332,16429,17.4466273852,332
334,75473,45.0070365727,334
335,16391,4.35445454123,335
336,20759,11.8393249624,336
337,75452,322.625702535,337
338,16835,25.0189550772,338
339,25324,2.98111402155,339
341,16126,4.98962098224,341
342,75914,19.930925307,342
343,16500,0.0,343
344,26509,10.3953441312,344
345,25814,4.51593720433,345
346,75641,424.765570132,346
347,18653,3.1463664803,347
348,17015,1.89500560191,348
349,16393,26.0678566707,349
350,75056,3.35634112872,350
351,75475,416.104199832,351
352,75416,679.482407925,352
353,75536,251.952568105,353
354,75422,158.75972782,354
355,20445,1.76909057496,355
356,20444,5.58491742623,356
360,75720,264.937294523,360
362,18886,43.5498806329,362
363,16419,1.37603300512,363
364,16115,0.786925092334,364
366,76107,3.81473460653,366
367,75927,351.534979825,367
368,22916,0.00525660378965,368
369,17169,11.1216808751,369
370,75751,39.5736970148,370
371,20522,0.97968759907,371
372,20460,5.71836597657,372
373,16924,28.7083606739,373
374,75818,0.636377466655,374
375,75572,30.1915903986,375
376,75504,344.531144402,376
377,16539,0.00266249835457,377
378,75492,147.345641722,378
379,18791,1.37494766639,379
380,16244,5.3966905636,380
381,25221,1.57006297115,381
382,16381,7.7822554584,382
383,36438,1.52280884535,383
384,16379,19.7485873586,384
385,74903,11.0098538552,385
386,37258,11.3049096229,386
387,75520,445.378421884,387
388,16167,6.45318418288,388
389,16397,13.0826764892,389
390,16787,6.86643486805,390
391,75637,743.627132948,391
392,20177,1.017421453,392
393,75558,13.6441517102,393
394,75613,0.665257005996,394
395,75559,4.88187542508,395
396,78918,375.325411679,396
397,16262,1.12100630342,397
398,75600,314.995142418,398
399,16194,14.0505515868,399
400,16569,16.3268880633,400
401,16663,5.94509728822,401
402,75684,45.8067364365,402
403,17123,6.588512545,403
406,21376,2.52630680627,406
409,16136,2.76060281862,409
410,75557,93.1265510962,410
411,75607,187.170673152,411
412,22999,10.9877554137,412
413,18634,3.14666545357,413
414,24529,0.126416362206,414
415,17295,2.20822544809,415
417,30306,0.0986738802014,417
418,75672,195.361630561,418
421,23883,18.4113401895,421
422,24959,2.58874597205,422
423,22928,0.00539762887498,423
424,17259,1.11411981199,424
425,21057,6.10797242029,425
426,24507,0.34191274217,426
427,75903,123.005802095,427
429,16517,2.19990819391,429
433,75706,8.82736706177,433
435,16138,200.264820524,435
438,17194,15.2455323157,438
439,17194,501.476854651,439
440,53264,0.0,440
441,24187,3.94709545738,441
442,76657,48.6899406917,442
443,17175,0.0,443
444,17175,40.9272357352,444
445,53318,0.0,445
446,18112,0.218729028343,446
447,53516,0.0,447
448,52309,0.0,448
449,52672,288.823992245,449
450,16137,24.1060271886,450
451,52307,0.0,451
452,17248,4.26919372097,452
453,54918,0.0,453
454,56257,0.0,454
455,16445,0.712813439205,455
457,52578,0.0,457
458,77111,36.8967233163,458
459,24985,0.0284613309659,459
460,55334,0.0,460
461,23576,0.285232983254,461
462,53221,0.0,462
463,52504,0.0,463
464,17191,14.2457337916,464
465,55089,0.0,465
466,16124,17.8353979811,466
467,16124,177.088245207,467
468,16316,4.26686807676,468
469,61655,0.0,469
470,52543,0.0,470
471,55088,0.0,471
472,18390,4.7519699467,472
473,52545,0.0,473
474,16812,11.2962233152,474
475,53595,0.0,475
476,75619,4.59009972024,476
477,54207,0.0,477
478,54472,0.0,478
479,75922,176.308982271,479
480,53054,0.0,480
481,58250,0.0,481
482,52919,0.0,482
483,19881,1.00259062468,483
484,19881,112.284227102,484
485,75485,1.65533351202,485
486,16624,4.27096447331,486
487,52901,0.0,487
488,58372,0.0,488
489,18403,6.79728371428,489
490,54512,0.0,490
491,78037,34.9192786007,491
492,16079,0.704053629062,492
493,75454,122.091577902,493
494,52201,0.0,494
496,46314,26.7759019349,496
497,76290,92.149169646,497
502,16392,2.6084919529,502
503,75474,15.4615019354,503
504,19483,0.196464700603,504
517,76283,214.316881849,517
518,24957,340.884988103,518
519,17814,6.60957521494,519
520,75938,29.2631358583,520
521,58674,0.0,521
522,74934,12.4510801517,522
523,58635,0.0,523
1480,75575,56.020654361,1480
1481,49748,1.1435073243,1481
1484,75742,321.148054512,1484
