# Edges Betweenness Centrality, Cumulative Propability
0.017446,0.853890
0.017476,0.854839
0.017581,0.855787
0.017628,0.856736
0.017663,0.857685
0.017835,0.858634
0.018049,0.859583
0.018203,0.860531
0.018287,0.861480
0.018335,0.862429
0.018538,0.863378
0.018628,0.864326
0.018790,0.865275
0.018846,0.866224
0.018855,0.867173
0.018944,0.868121
0.019276,0.869070
0.019314,0.870019
0.019314,0.870968
0.019499,0.871917
0.019645,0.872865
0.019655,0.873814
0.019668,0.874763
0.019856,0.875712
0.019856,0.876660
0.019862,0.877609
0.019952,0.878558
0.020146,0.879507
0.020367,0.880455
0.020380,0.881404
0.020523,0.882353
0.021169,0.883302
0.021497,0.884250
0.021960,0.885199
0.021976,0.886148
0.022123,0.887097
0.022301,0.888046
0.022306,0.888994
0.022348,0.889943
0.022473,0.890892
0.022591,0.891841
0.022606,0.892789
0.022654,0.893738
0.022748,0.894687
0.022800,0.895636
0.022929,0.896584
0.023154,0.897533
0.023184,0.898482
0.023549,0.899431
0.023635,0.900380
0.023654,0.901328
0.024121,0.902277
0.024141,0.903226
0.024559,0.904175
0.024761,0.905123
0.025255,0.906072
0.025296,0.907021
0.025303,0.907970
0.025561,0.908918
0.025708,0.909867
0.025763,0.910816
0.026609,0.911765
0.026795,0.912713
0.026933,0.913662
0.027819,0.914611
0.028150,0.915560
0.028562,0.916509
0.030948,0.917457
0.031173,0.918406
0.031817,0.919355
0.031842,0.921252
0.032131,0.922201
0.032624,0.923150
0.032666,0.924099
0.032808,0.925996
0.032832,0.926945
0.033448,0.927894
0.033490,0.928843
0.034827,0.929791
0.034842,0.930740
0.035010,0.931689
0.035581,0.932638
0.035961,0.933586
0.038158,0.934535
0.038338,0.935484
0.038640,0.936433
0.039107,0.937381
0.039902,0.938330
0.040268,0.939279
0.040458,0.940228
0.041199,0.941176
0.042884,0.942125
0.042952,0.943074
0.043079,0.944023
0.046177,0.944972
0.046177,0.945920
0.046397,0.946869
0.046999,0.947818
0.046999,0.948767
0.048445,0.949715
0.048933,0.950664
0.049978,0.952562
0.050197,0.954459
0.050716,0.955408
0.051320,0.956357
0.051488,0.957306
0.051819,0.958254
0.052980,0.959203
0.053719,0.960152
0.054467,0.961101
0.056959,0.962049
0.057347,0.962998
0.057888,0.963947
0.058962,0.964896
0.059626,0.965844
0.066628,0.966793
0.070350,0.967742
0.075831,0.968691
0.079963,0.969639
0.080659,0.970588
0.080951,0.971537
0.081452,0.972486
0.083028,0.973435
0.084441,0.974383
0.084926,0.975332
0.089115,0.976281
0.089463,0.977230
0.090983,0.978178
0.096905,0.979127
0.099491,0.980076
0.100120,0.981025
0.101300,0.981973
0.102367,0.982922
0.105732,0.983871
0.114330,0.984820
0.114396,0.985769
0.114431,0.986717
0.118887,0.987666
0.122463,0.988615
0.125018,0.989564
0.125665,0.990512
0.126815,0.991461
0.128863,0.992410
0.128910,0.993359
0.129639,0.994307
0.130056,0.995256
0.137416,0.996205
0.143158,0.997154
0.147169,0.998102
0.150119,0.999051
0.161511,1.000000
