edge,bet_cen_edge
'(123, 163)',0.015113699126839944
'(149, 467)',0.005983211015330928
'(125, 454)',0.002408868567342221
'(117, 471)',0.005040784961660903
'(282, 341)',0.0008053727539808909
'(220, 387)',0.008492102710518128
'(366, 367)',0.0069108146195940605
'(476, 477)',0.004273504273504273
'(56, 413)',0.003257746298431523
'(109, 448)',0.008561459679746947
'(215, 223)',0.004232324896136459
'(68, 213)',0.013672686263692689
'(506, 507)',0.004273504273504273
'(492, 494)',0.004273504273504273
'(308, 309)',0.0404094908779063
'(120, 149)',0.0006199942495445705
'(78, 281)',0.008386286170012074
'(312, 394)',0.007213196729588469
'(228, 229)',0.004273504273504273
'(181, 447)',0.000259277561204756
'(213, 240)',0.004273504273504273
'(60, 160)',0.0017834275328921904
'(387, 400)',2.2877431871007887e-05
'(230, 396)',0.004273504273504273
'(119, 429)',0.004273504273504273
'(135, 136)',0.00585637733512142
'(129, 176)',0.004111289458653201
'(279, 281)',0.0004292638125614571
'(42, 447)',0.008269429040306985
'(104, 168)',0.0003838179427044523
'(173, 184)',0.1006248256336643
'(165, 208)',0.002304476394412153
'(5, 295)',0.004273504273504273
'(8, 21)',0.081161851301616
'(320, 409)',0.016412879689110958
'(14, 15)',0.0022900724086424486
'(210, 481)',0.00032196172453131765
'(180, 181)',0.004445734391327363
'(68, 246)',0.23577005851552574
'(209, 219)',0.07533584712261243
'(115, 116)',0.0083197593904232
'(353, 384)',0.03643898335246735
'(68, 70)',0.0055328742159577275
'(117, 118)',0.0017181713916189286
'(113, 449)',0.02451988230521591
'(110, 198)',0.004273504273504273
'(253, 478)',0.00014107458198856683
'(124, 129)',0.00020650695168896452
'(134, 1480)',0.0025824971108634083
'(46, 435)',0.0007421092271199325
'(87, 139)',0.041393382105678264
'(302, 303)',0.08280508196932322
'(131, 132)',0.026923951786373173
'(119, 158)',0.004273504273504273
'(21, 183)',0.047749772871050235
'(83, 401)',1.830194549680631e-05
'(235, 406)',0.00426435330075587
'(520, 521)',0.004273504273504273
'(227, 233)',0.012612654448868003
'(8, 102)',0.04144830515844444
'(86, 93)',0.004273504273504274
'(110, 253)',0.004132429691515719
'(32, 342)',0.011978929285860649
'(150, 467)',0.0025454955861808114
'(68, 339)',0.004273504273504273
'(231, 1484)',0.004273504273504273
'(95, 289)',0.004273504273504273
'(125, 154)',0.007270684545845142
'(294, 343)',0.004273504273504273
'(309, 421)',0.03687721539702267
'(119, 121)',0.00852870660151174
'(305, 306)',0.004273504273504273
'(5, 6)',0.03279976364243094
'(315, 484)',0.0014023865736927836
'(52, 54)',0.0024080131146512304
'(301, 481)',0.003072769526676075
'(32, 33)',0.001412910192353447
'(299, 380)',0.004273504273504273
'(221, 444)',0.10131190896989196
'(34, 161)',0.0211845019125533
'(73, 74)',0.004273504273504273
'(123, 129)',0.023080743774380734
'(46, 47)',0.00881959661402916
'(308, 335)',0.060120718991853055
'(23, 24)',0.0211845019125533
'(307, 381)',0.004273504273504273
'(71, 72)',0.004273504273504273
'(5, 297)',0.014635967767659415
'(474, 475)',0.004273504273504273
'(107, 139)',0.05159467975158482
'(281, 282)',0.0009989554422102592
'(213, 214)',0.005668635433089395
'(387, 388)',0.004273504273504273
'(184, 187)',0.03690310069658372
'(117, 123)',0.2432979051068336
'(314, 318)',0.004273504273504273
'(246, 304)',0.20852631939328908
'(129, 175)',0.005887594946593193
'(472, 473)',0.004273504273504273
'(99, 211)',0.05336109336377007
'(37, 42)',0.09663965139215606
'(63, 288)',0.002437361591537179
'(117, 120)',0.016543146882378266
'(258, 286)',0.008773059361924452
'(382, 384)',0.023587536471627576
'(87, 138)',0.005389382569094019
'(89, 188)',0.004273504273504273
'(24, 83)',0.008510404656014934
'(172, 191)',0.025366496458573546
'(87, 105)',0.09441187717348264
'(209, 376)',0.004273504273504273
'(187, 497)',0.004273504273504273
'(414, 415)',9.150972748403155e-06
'(86, 95)',0.01593670274976543
'(2, 4)',0.022666116180453735
'(288, 439)',0.0024998932386512676
'(144, 460)',0.0037220274372308628
'(224, 225)',0.006401105437508007
'(99, 360)',0.004273504273504273
'(32, 294)',0.006372127357138064
'(106, 141)',0.011944751638806723
'(282, 342)',0.004882132039170497
'(261, 409)',0.020393552834666318
'(214, 236)',0.0025936035572009875
'(78, 334)',0.09407588553674268
'(76, 220)',0.0065554155380910155
'(39, 40)',0.004273504273504273
'(105, 137)',0.004273504273504273
'(165, 251)',0.004273504273504273
'(69, 496)',0.2865500870361559
'(165, 166)',0.004273504273504273
'(105, 168)',0.004255725240735944
'(13, 15)',0.020610885087634544
'(52, 439)',0.01076017130620985
'(258, 259)',0.007733508857705866
'(161, 285)',0.004273504273504273
'(115, 151)',0.0018178446598064522
'(140, 462)',0.01728193587293275
'(279, 327)',0.004233850058261193
'(134, 162)',0.004273504273504273
'(232, 233)',0.0022160242538543746
'(308, 311)',0.035980967543194284
'(32, 72)',0.1546045107067453
'(142, 144)',0.0006812798651046059
'(493, 494)',0.004273504273504273
'(216, 261)',0.04360911638305301
'(44, 435)',9.150972748403155e-06
'(52, 58)',0.004255202328007467
'(149, 150)',0.0041276304391936105
'(190, 260)',0.006780695511958904
'(159, 161)',0.09148067796943297
'(79, 80)',0.0014829913919849683
'(235, 403)',0.014987201710970456
'(16, 49)',0.0636214665657921
'(119, 453)',0.020077894599536704
'(10, 11)',0.00413776484440296
'(3, 7)',0.0171730086076981
'(232, 247)',0.0002661407907660583
'(24, 401)',0.004255202328007467
'(37, 49)',0.06668557669628335
'(334, 390)',0.03092652089031378
'(74, 280)',0.023523240916804303
'(264, 403)',0.03138561513829176
'(362, 506)',0.00852870660151174
'(261, 307)',0.03145449726911906
'(319, 320)',0.001807927182659516
'(27, 414)',0.00426435330075587
'(54, 56)',0.001865491158853043
'(1, 2)',0.004273504273504273
'(121, 122)',0.004273504273504273
'(235, 362)',0.0013790080171236492
'(105, 187)',0.03510340938939776
'(297, 426)',0.004273504273504273
'(140, 141)',0.0014683524765608986
'(129, 151)',0.0027030409103296544
'(125, 130)',0.004503573729032988
'(355, 356)',9.150972748403155e-06
'(106, 109)',0.014137068146147711
'(87, 457)',0.005966699294267514
'(116, 151)',0.00020894721108853867
'(61, 161)',0.09078885452600355
'(452, 453)',0.004273504273504273
'(105, 469)',0.03510340938939776
'(233, 393)',0.002957627074329433
'(59, 67)',0.0033367784170782217
'(384, 389)',0.016649346182259498
'(44, 45)',0.0047532856151699865
'(489, 490)',0.004273504273504273
'(391, 494)',0.0127656069840224
'(135, 448)',0.007748885651612605
'(157, 477)',0.015757782656380316
'(276, 496)',0.004273504273504273
'(6, 480)',0.009203677993827888
'(234, 406)',9.150972748403155e-06
'(81, 280)',0.012450924184003025
'(261, 399)',0.004273504273504273
'(120, 269)',0.004273504273504273
'(37, 72)',0.14995904249953548
'(111, 114)',2.7452918245209464e-05
'(386, 387)',2.2877431871007887e-05
'(123, 124)',0.004535021249644439
'(86, 96)',0.004273504273504274
'(384, 503)',0.004273504273504273
'(125, 155)',0.004273504273504273
