branch_id,v_id1,eq_no_id1,v_id2,eq_no_id2,wkt_srid_3857
99772,53146,no equal node id,55928,no equal node id,'SRID=3857;LINESTRING(1134829.48 6101508.93,1134850.18 6101706.19)'
100119,75541,298,53339,no equal node id,'SRID=3857;LINESTRING(1160129.8913048 6843072.27264288,1153164.84 6832063.56000001)'
100265,53868,no equal node id,54137,no equal node id,'SRID=3857;LINESTRING(921457.329999999 6851349.47,902816.650000001 6847660.47)'
100346,58126,no equal node id,58795,no equal node id,'SRID=3857;LINESTRING(995715.62 6372191.6,996044.120000001 6372271.80000001)'
100754,55492,no equal node id,55493,no equal node id,'SRID=3857;LINESTRING(748382.09 6683767.7,748499.98 6684141.18)'
101076,16379,384,52440,no equal node id,'SRID=3857;LINESTRING(1207047.25911651 6339344.12219877,1206516.84 6338261.78999999)'
101423,58309,no equal node id,58311,no equal node id,'SRID=3857;LINESTRING(898078.560000001 6373812.80000001,898077.3 6374066.44)'
102931,52526,no equal node id,56965,no equal node id,'SRID=3857;LINESTRING(747458.959999999 6622180.74,747393.040000001 6622137.7)'
103573,56967,no equal node id,56968,no equal node id,'SRID=3857;LINESTRING(745820.779999999 6621844.32,745872.260000002 6621844.92)'
103574,52514,no equal node id,56967,no equal node id,'SRID=3857;LINESTRING(745132.17 6621807.57999999,745820.779999999 6621844.32)'
103612,56795,no equal node id,75880,238,'SRID=3857;LINESTRING(732349.28 6406525.14000001,737014.594974126 6402830.32944142)'
103699,55505,no equal node id,55509,no equal node id,'SRID=3857;LINESTRING(797846.269999999 6688847.88999999,797983.660000001 6688600.14999999)'
104599,52215,no equal node id,53899,no equal node id,'SRID=3857;LINESTRING(945783.740000002 7019951.41999999,935741.99 7026659.21)'
104600,52853,no equal node id,53899,no equal node id,'SRID=3857;LINESTRING(929342.86 7030045.13999999,935741.99 7026659.21)'
104601,75453,161,52853,no equal node id,'SRID=3857;LINESTRING(896482.624850847 7044910.2057411,929342.86 7030045.13999999)'
104819,16148,no equal node id,52634,no equal node id,'SRID=3857;LINESTRING(781847.208356239 6732727.00544385,782715.809999998 6733242.13)'
104993,58330,no equal node id,58333,no equal node id,'SRID=3857;LINESTRING(885941.380000001 6572751.54,895424.609999999 6579617.25)'
105239,16429,332,57295,no equal node id,'SRID=3857;LINESTRING(1458649.88529266 6218505.49434595,1453440.14 6152143.84)'
105531,52504,463,55350,no equal node id,'SRID=3857;LINESTRING(726106.480000001 6678538.92,726288.13 6678196.66)'
