'id','geom','v_id','lon','lat','typ','voltage','frequency','name','operator','ref','wkt_srid_4326','wkt_srid_3857'
61,'0101000020E6100000A04C2279840226401D576AF9F2404940',16500,11.0049169402,50.5074149865,'substation','380000','50','Pumpspeicherwerk Goldisthal','','','SRID=4326;POINT(11.0049169401521 50.5074149865379)','SRID=3857;POINT(1225061.75 6534619.35999999)'
62,'0101000020E61000009E2EB5FAD8F319408865B7C4C6704940',16566,6.4881323979,50.8810659309,'substation','380000','50','Station Hambach','RWE','','SRID=4326;POINT(6.48813239794586 50.8810659308902)','SRID=3857;POINT(722255.594738674 6600282.56626304)'
63,'0101000020E61000004DE8DD4F6D502A40B42100C50AEA4940',16801,13.1570839842,51.8284536601,'substation','380000','50','Umspannwerk Schönewalde','50Hertz','','SRID=4326;POINT(13.1570839842208 51.8284536600726)','SRID=3857;POINT(1464639.88944779 6769166.91175317)'
64,'0101000020E61000004BFE2422479A2340B74FC55685D34740',17097,9.8013239546,47.6525066818,'substation','380000','50','Umspannwerk Obermooweiler','','','SRID=4326;POINT(9.80132395459727 47.6525066817698)','SRID=3857;POINT(1091078.39172568 6049237.80582809)'
65,'0101000020E61000000CA3933B99691D4007C18901B4C94940',17220,7.3531235989,51.5758058474,'substation','380000','50','Station Mengede','RWE','','SRID=4326;POINT(7.35312359894375 51.5758058474185)','SRID=3857;POINT(818545.974774421 6723786.14844874)'
66,'0101000020E61000004E4DADE7BBF81F408FAB6F3483D74940',18376,7.9929043006,51.6836915536,'substation','380000','50','Station Uentrop','RWE','','SRID=4326;POINT(7.99290430064441 51.6836915536179)','SRID=3857;POINT(889766.036707103 6743133.6594386)'
67,'0101000020E61000003DB758B0BC3C214041B857E0CE0B4940',19483,8.6186270817,50.0922508648,'substation','380000','50','Umspannwerk Frankfurt Südwest','','','SRID=4326;POINT(8.61862708170849 50.0922508648223)','SRID=3857;POINT(959421.178072906 6462267.42003998)'
68,'0101000020E6100000F04699371D102140B975CD8D1F064940',25944,8.5314729094,50.0478379491,'substation','380000','50','Station Kelsterbach','Amprion','','SRID=4326;POINT(8.53147290941294 50.0478379491064)','SRID=3857;POINT(949719.219992457 6454564.65655926)'
69,'0101000020E61000004B6FFB7534602440D282A83899FD4840',75130,10.1879002447,49.9812384436,'merge','380000','','Grafenrheinfeld','','GR','SRID=4326;POINT(10.1879002446582 49.9812384436424)','SRID=3857;POINT(1134111.86748802 6443027.30371212)'
70,'0101000020E6100000995A2D60A2852540D1CDFA60102F4A40',16282,10.7610044532,52.3676873421,'substation','380000','50','Umspannwerk Hattorf','EON_Netz','','SRID=4326;POINT(10.7610044532169 52.3676873421315)','SRID=3857;POINT(1197909.53615625 6866883.04566665)'
71,'0101000020E6100000CD2CC93E503C1B407A3CB4BC61A24940',16445,6.8088998614,51.2686077004,'substation','380000','50','Station Rath','','','SRID=4326;POINT(6.80889986136317 51.2686077003536)','SRID=3857;POINT(757963.265429339 6668945.5587936)'
72,'0101000020E61000008360DD0E8AB02240BFF9907BFFF54A40',16774,9.3448032994,53.9218592127,'substation','380000','50','Umspannwerk Wilster','TenneT','','SRID=4326;POINT(9.3448032994495 53.921859212674)','SRID=3857;POINT(1040258.74485802 7155371.23206783)'
73,'0101000020E61000009C0212C6C4041D40F7B5DCF969834A40',17175,7.2546568821,53.0266716316,'substation','380000','50','Umspannwerk Rhede','TenneT','RHED','SRID=4326;POINT(7.25465688214231 53.0266716315927)','SRID=3857;POINT(807584.709999999 6987932.975)'
74,'0101000020E6100000F577906EF0BE214068A5FF56B0274840',18414,8.8729280998,48.3100689648,'substation','380000','50','Netze BW Umspannwerk Engstlatt','Netze BW','ENGST','SRID=4326;POINT(8.87292809976132 48.3100689647934)','SRID=3857;POINT(987729.837910758 6158595.15975568)'
75,'0101000020E6100000A03E6FCA370A2140554DDE0951064940',19166,8.5199568997,50.0493481002,'substation','380000','','Kabeleinführung 380 kV','Süwag','','SRID=4326;POINT(8.51995689971892 50.0493481002292)','SRID=3857;POINT(948437.263657349 6454826.45283233)'
76,'0101000020E61000003AD7318D97C8244055669D3B5E424840',20409,10.3917812465,48.518500759,'substation','380000','','Umspannwerk Gundelfingen','Amprion','','SRID=4326;POINT(10.3917812465039 48.5185007589868)','SRID=3857;POINT(1156807.7967959 6193552.48511139)'
77,'0101000020E610000025617EC13A9D1D403E9B61527DD24940',22375,7.4035444482,51.6444495179,'substation','380000','50','Station Lippe','RWE','','SRID=4326;POINT(7.40354444822177 51.6444495178789)','SRID=3857;POINT(824158.798041415 6736090.9256013)'
78,'0101000020E6100000C7ADCDAB1D042D4084DA645EF3B44940',25083,14.5080388726,51.4136770241,'substation','380000','50','Umspannwerk Bärwalde','50Hertz','','SRID=4326;POINT(14.5080388725827 51.4136770241212)','SRID=3857;POINT(1615027.49970492 6694797.20598955)'
79,'0101000020E610000066F80CF46CBF1F40370681E915D34740',29543,7.9369390614,47.649106205,'substation','380000','','Kabelanfang PSP Wehr','','','SRID=4326;POINT(7.93693906144299 47.6491062049867)','SRID=3857;POINT(883536.014777077 6048675.88070586)'
80,'0101000020E61000000194C7491A6627406BF20FC941C94A40',32751,11.6994193131,53.5723201111,'substation','380000','','Wessin','50Hertz','','SRID=4326;POINT(11.6994193130613 53.5723201110712)','SRID=3857;POINT(1302373.40050697 7089571.35151501)'
81,'0101000020E6100000EA3C3B54EC9D2040C64B72BAE9A04840',35049,8.3084436724,49.2571328219,'substation','380000','','Weingarten','','','SRID=4326;POINT(8.30844367240066 49.2571328218542)','SRID=3857;POINT(924891.718896236 6318604.61368004)'
82,'0101000020E6100000E9702C8BEF2C2840C988EB8C1EA04A40',36306,12.087765073,53.2509323263,'substation','380000','50','Umspannwerk Putlitz','50Hertz','','SRID=4326;POINT(12.0877650729894 53.2509323263235)','SRID=3857;POINT(1345603.8527539 7029549.16561361)'
83,'0101000020E610000010881D02EE1D2A40A77B9E895DE64940',46472,13.0584564839,51.7997295402,'substation','380000','50','UW Jessen Nord','50Hertz Transmission GmbH','','SRID=4326;POINT(13.058456483941 51.7997295402377)','SRID=3857;POINT(1453660.72633843 6763994.67552138)'
84,'0101000020E610000010B217572DFE2140DECF9E12D4304A40',75504,8.9964396683,52.3814719463,'merge','380000','50','Kraftwerk Heyden;KW Heyden','E.ON Kraftwerke GmbH','HEYD','SRID=4326;POINT(8.99643966831448 52.3814719462823)','SRID=3857;POINT(1001479.08282917 6869396.56512847)'
85,'0101000020E61000003923CA050C6E284012C09CCFD50C4B40',75567,12.2149354753,54.1002749935,'merge','380000','50','HGÜ Kontek - Stromrichterhalle Bentwisch;Bentwisch HGÜ','50Hertz Transmission','','SRID=4326;POINT(12.2149354752779 54.1002749934561)','SRID=3857;POINT(1359760.39718063 7189170.09701)'
86,'0101000020E610000092042FBDA8B61F40221BF7BA46D64940',75728,7.9283780632,51.6740335185,'merge','380000','','GuD-Kraftwerk Hamm-Uentrop;Geithe','Trainel','BNA0401;BNA0411','SRID=4326;POINT(7.92837806319689 51.6740335184643)','SRID=3857;POINT(882583.008811639 6741399.77431652)'
87,'0101000020E6100000B9C7CB742FC329406E9DB2865D424940',75938,12.8812214373,50.518479192,'merge','380000','','Pumpspeicherwerk Markersbach;Markersbach','','','SRID=4326;POINT(12.8812214373355 50.5184791919845)','SRID=3857;POINT(1433931.01119959 6536556.22788059)'
88,'0101000020E6100000F2D6AD2816141F4036E2BC4565D04740',79732,7.7696157795,47.6280905888,'joint','380000','50','Kühmoos - Daxlanden','EnBW;Amprion','7510','SRID=4326;POINT(7.76961577950509 47.6280905887874)','SRID=3857;POINT(864909.672233889 6045203.88425029)'
89,'0101000020E6100000A6F596299CAD1E40AFA3005A60314940',78968,7.669541025,50.3857529166,'joint','380000','','','RWE','','SRID=4326;POINT(7.66954102500805 50.3857529166338)','SRID=3857;POINT(853769.401522016 6513351.41605277)'
90,'0101000020E61000003D0F4A60C61127401DD93406E2654940',62700,11.5347166148,50.7959602125,'joint','380000','50','415, 416','50Hertz','415;416','SRID=4326;POINT(11.5347166147618 50.7959602125213)','SRID=3857;POINT(1284038.78 6585280.49999999)'
91,'0101000020E6100000F1AD23427E48214042E08485F7914840',78044,8.6415882748,49.1403662585,'joint','380000','50','Philippsburg - Pulverdingen 2x 380 kV','EnBW','337','SRID=4326;POINT(8.64158827481785 49.1403662585076)','SRID=3857;POINT(961977.206397847 6298712.25959803)'
92,'0101000020E6100000F6989079653E2240EA4847FC76884840',78795,9.1218679418,49.0661311482,'joint','380000','','','','Anlage 317','SRID=4326;POINT(9.12186794176203 49.0661311481543)','SRID=3857;POINT(1015441.69436044 6286089.92477154)'
93,'0101000020E61000002BEE10FE49522340D1D1365A973D4840',79009,9.6607207676,48.4811814087,'joint','380000','','RWE-Donauleitung 380 kV','EVS','','SRID=4326;POINT(9.66072076756162 48.4811814086603)','SRID=3857;POINT(1075426.51654096 6187282.8916642)'
94,'0101000020E6100000FC50064D662A224019F243B65D0B4940',79884,9.0828117438,50.0887973625,'joint','380000','','Aschaffenburg - Großkrotzenburg;Großkrotzenburg - Grafenrheinfeld','TenneT TSO GmbH','412;417','SRID=4326;POINT(9.08281174375633 50.088797362496)','SRID=3857;POINT(1011093.97828612 6461668.20526168)'
95,'0101000020E6100000DB00BB0AE1172240C990B4A05B954940',76393,9.0466388086,51.1668587572,'merge','400000','','Pumpspeicherkraftwerk Waldeck I','Uniper Kraftwerke GmbH','','SRID=4326;POINT(9.04663880856281 51.1668587571781)','SRID=3857;POINT(1007067.22555988 6650862.34770022)'
